number,question,a,b
1,"Часто ли Вам приходится задерживаться на работе после окончания рабочего дня?","Да","Нет"
2,"Берете ли Вы работу на дом?","Да","Нет"
3,"Часто ли Вы не успеваете все сделать в срок?","Да","Нет"
4,"Считаете ли, что Вам сложно поручить выполнение задач другим?","Да","Нет"
5,"Часто ли Вы отвлекаетесь на мелкие дела, которые мешают сосредоточиться на важном?","Да","Нет"
6,"Тратите ли Вы много времени на выполнение рутинных задач, которые могли бы передать коллегам?","Да","Нет"
7,"Бывает ли так, что Ваше рабочее пространство в беспорядке, и Вам трудно найти нужные документы?","Да","Нет"
8,"Есть ли у Вас чувство, что работа отнимает слишком много времени, оставляя мало места для отдыха и личной жизни?","Да","Нет"
9,"Часто ли приходится экстренно решать проблемы из-за недостатка времени на планирование?","Да","Нет"
10,"Чувствуете ли Вы стресс и усталость из-за объема работы?","Да","Нет"
