number,question,a,b,c,d
1,"Выбери ответ, наиболее подходящий Вам.","Я хотел бы исследовать детали.","Я хорошо определяю альтернативы.","Я склонен к тому, чтобы настроиться сразу на несколько задач.","Перед тем как начать что-то выполнять, я пытаюсь представить себе возможные последствия."
2,"Выбери ответ, наиболее подходящий Вам.","Я предпочитаю самостоятельные активные действия.","Я выполняю действия последовательно, одно за другим.","Я охотнее использую идеи, которые уже продуманы другими.","Мне доставляет удовольствие, когда результаты моей деятельности принимают во внимание."
3,"Выбери ответ, наиболее подходящий Вам.","Я не считаю себя обязанным следовать традициям.","Я люблю, когда все уравновешено и симметрично.","Я всегда с удовольствием обсуждаю новые планы.","Перед тем как ввести что-то новое, я проверяю это на не слишком важном экспериментальном материале."
4,"Выбери ответ, наиболее подходящий Вам.","Я следую своим чувствам.","Я не очень свободно чувствую себя в новых ситуациях.","Люди говорят, что я думаю по шаблонам.","Моя сильная сторона – это поиск альтернатив."
5,"Выбери ответ, наиболее подходящий Вам.","Я люблю четко продумывать обстоятельства, прежде чем начну действовать.","Я склонен менять одну тему на другую.","Я люблю концентрироваться на новых идеях.","Я испытываю удовлетворение, когда события развиваются знакомым мне образом."
6,"Выбери ответ, наиболее подходящий Вам.","Я охотно разрабатываю теории и общие принципы.","Я осторожен при введении новых методов.","Я предпочитаю быть там, где царит порядок.","Когда все в порядке, мне неспокойно."
7,"Выбери ответ, наиболее подходящий Вам.","Я стремлюсь к распознанию взаимосвязей.","Я не сомневаюсь в корректности настоящего состояния вопроса.","Я занимаюсь только теми идеями, в которых убежден.","Люди говорят, что я мыслю, перепрыгивая от одного к другому."
8,"Выбери ответ, наиболее подходящий Вам.","Я люблю вести себя так, чтобы не бросаться в глаза.","Иногда я нетерпелив.","Я склонен к тому, чтобы решать проблемы по определенной схеме.","Я часто думаю о том, что должно произойти дальше."
9,"Выбери ответ, наиболее подходящий Вам.","Я люблю выполнять дела по определенной методике.","Я иду на поводу моих собственных убеждений.","Я сразу же схватываю существенные моменты.","Я предпочитаю отдавать руководство в руки других людей."
10,"Выбери ответ, наиболее подходящий Вам.","Я люблю гармонию во всем.","Я способен хорошо анализировать обстоятельства.","Я люблю, когда меня уважают.","Я могу хорошо поддерживать порядок."
11,"Выбери ответ, наиболее подходящий Вам.","Иногда я действую импульсивно.","Вначале я скептически отношусь к новым идеям.","Я предпочитаю тратить свое время на создание порядка.","Я с удовольствием обсуждаю то, как идут дела."
12,"Выбери ответ, наиболее подходящий Вам.","Мои мысли развиваются последовательно, друг за другом.","Я очень ориентируюсь на будущее.","Я охотнее использую испытанные методы, чем пробую что-то новое.","Мне нравится, когда я могу влиять на других людей."
